STATUS,CLK,DOUT,D0,D1,D2,D3,D4,D5,D6,D7,A0,t
0,1,0,1,0,0,1,1,0,1,1,-0.001286,0.000000
0,1,0,1,0,0,1,1,0,1,1,0.003224,0.000100
0,1,0,1,0,0,1,1,0,1,1,0.003869,0.000200
0,1,0,1,0,0,1,1,0,1,1,0.003224,0.000300
0,1,0,1,0,0,1,1,0,1,1,0.003546,0.000400
0,1,0,1,0,0,1,1,0,1,1,0.003224,0.000500
0,1,0,1,0,0,1,1,0,1,1,0.002902,0.000600
0,1,0,1,0,0,1,1,0,1,1,0.002902,0.000700
0,1,0,1,0,0,1,1,0,1,1,0.003224,0.000800
0,1,0,1,0,0,1,1,0,1,1,0.002902,0.000900
0,1,0,1,0,0,1,1,0,1,1,0.003869,0.001000
0,1,0,1,0,0,1,1,0,1,1,0.002902,0.001100
0,1,0,1,0,0,1,1,0,1,1,0.003224,0.001200
0,1,0,1,0,0,1,1,0,1,1,0.003224,0.001300
0,1,0,1,0,0,1,1,0,1,1,0.002902,0.001400
0,1,0,1,0,0,1,1,0,1,1,0.002902,0.001500
0,1,0,1,0,0,1,1,0,1,1,0.002902,0.001600
0,1,0,1,0,0,1,1,0,1,1,0.003224,0.001700
0,1,0,1,0,0,1,1,0,1,1,0.003224,0.001800
0,1,0,1,0,0,1,1,0,1,1,0.003224,0.001900
0,1,0,1,0,0,1,1,0,1,1,0.003224,0.002000
0,1,0,1,0,0,1,1,0,1,1,0.003546,0.002100
0,1,0,1,0,0,1,1,0,1,1,0.003546,0.002200
0,1,0,1,0,0,1,1,0,1,1,0.003224,0.002300
0,1,0,1,0,0,1,1,0,1,1,0.003224,0.002400
0,1,0,1,0,0,1,1,0,1,1,0.003224,0.002500
0,1,0,1,0,0,1,1,0,1,1,0.003869,0.002600
0,1,0,1,0,0,1,1,0,1,1,0.002902,0.002700
0,1,0,1,0,0,1,1,0,1,1,0.003224,0.002800
0,1,0,1,0,0,1,1,0,1,1,0.003546,0.002900
0,1,0,1,0,0,1,1,0,1,1,0.002580,0.003000
0,1,0,1,0,0,1,1,0,1,1,0.003546,0.003100
0,1,0,1,0,0,1,1,0,1,1,0.003224,0.003200
0,1,0,1,0,0,1,1,0,1,1,0.003546,0.003300
0,1,0,1,0,0,1,1,0,1,1,0.003546,0.003400
0,1,0,1,0,0,1,1,0,1,1,0.003546,0.003500
0,1,0,1,0,0,1,1,0,1,1,0.003224,0.003600
0,1,0,1,0,0,1,1,0,1,1,0.003224,0.003700
0,1,0,1,0,0,1,1,0,1,1,0.003224,0.003800
0,1,0,1,0,0,1,1,0,1,1,0.002580,0.003900
0,1,0,1,0,0,1,1,0,1,1,0.003546,0.004000
0,1,0,1,0,0,1,1,0,1,1,0.003224,0.004100
0,1,0,1,0,0,1,1,0,1,1,0.002902,0.004200
0,1,0,1,0,0,1,1,0,1,1,0.003546,0.004300
0,1,0,1,0,0,1,1,0,1,1,0.003546,0.004400
0,1,0,1,0,0,1,1,0,1,1,0.002902,0.004500
0,1,0,1,0,0,1,1,0,1,1,0.002902,0.004600
0,1,0,1,0,0,1,1,0,1,1,0.003224,0.004700
0,1,0,1,0,0,1,1,0,1,1,0.003546,0.004800
0,1,0,1,0,0,1,1,0,1,1,0.003869,0.004900
0,0,0,1,0,0,1,1,0,1,1,0.003546,0.005000
0,0,0,1,0,0,1,1,0,1,1,0.003224,0.005100
0,0,0,1,0,0,1,1,0,1,1,0.003869,0.005200
